Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -4.72987     34.42655      0.00000      0.00000
     -4.71987     29.64452      0.00000      0.00000
     -4.70987     29.15605      0.00000      0.00000
     -4.69987     28.77715      0.00000      0.00000
     -4.68987     28.76640      0.00000      0.00000
     -4.67987     30.02783      0.00000      0.00000
     -4.66987     31.21597      0.00000      0.00000
     -4.65987     31.51834      0.00000      0.00000
     -4.64987     30.85861      0.00000      0.00000
     -4.63987     31.87344      0.00000      0.00000
     -4.62987     37.79136      0.00000      0.00000
     -4.61987     42.78736      0.00000      0.00000
     -4.60987     43.91300      0.00000      0.00000
     -4.59987     44.55596      0.00000      0.00000
     -4.58987     44.68954      0.00000      0.00000
     -4.57987     43.97934      0.00000      0.00000
     -4.56987     42.87346      0.00000      0.00000
     -4.55987     42.29870      0.00000      0.00000
     -4.54987     42.49154      0.00000      0.00000
     -4.53987     43.43210      0.00000      0.00000
     -4.52987     43.75043      0.00000      0.00000
     -4.51987     42.57818      0.00000      0.00000
     -4.50987     42.40243      0.00000      0.00000
     -4.49987     43.40899      0.00000      0.00000
     -4.48987     45.25065      0.00000      0.00000
     -4.47987     45.56511      0.00000      0.00000
     -4.46987     44.36748      0.00000      0.00000
     -4.45987     43.60634      0.00000      0.00000
     -4.44987     42.79418      0.00000      0.00000
     -4.43987     41.36564      0.00000      0.00000
     -4.42987     40.56697      0.00000      0.00000
     -4.41987     42.56312      0.00000      0.00000
     -4.40987     45.47443      0.00000      0.00000
     -4.39987     46.10416      0.00000      0.00000
     -4.38987     45.02294      0.00000      0.00000
     -4.37987     46.05342      0.00000      0.00000
     -4.36987     48.14227      0.00000      0.00000
     -4.35987     49.48785      0.00000      0.00000
     -4.34987     50.31857      0.00000      0.00000
     -4.33987     55.45441      0.00000      0.00000
     -4.32987     62.80695      0.00000      0.00000
     -4.31987     65.34958      0.00000      0.00000
     -4.30987     63.66167      0.00000      0.00000
     -4.29987     61.17688      0.00000      0.00000
     -4.28987     59.80456      0.00000      0.00000
     -4.27987     61.95308      0.00000      0.00000
     -4.26987     64.09641      0.00000      0.00000
     -4.25987     63.01537      0.00000      0.00000
     -4.24987     59.14463      0.00000      0.00000
     -4.23987     54.27217      0.00000      0.00000
     -4.22987     54.45472      0.00000      0.00000
     -4.21987     58.88511      0.00000      0.00000
     -4.20987     59.89213      0.00000      0.00000
     -4.19987     58.41770      0.00000      0.00000
