Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -4.99000     13.18203      4.66948      8.51255
     -4.98000     14.44085      5.10791      9.33294
     -4.97000     14.24197      5.05355      9.18842
     -4.96000     12.20552      4.34985      7.85567
     -4.95000     11.59409      4.12380      7.47028
     -4.94000     13.34710      4.73548      8.61162
     -4.93000     14.96658      5.31792      9.64866
     -4.92000     14.21114      5.05493      9.15621
     -4.91000     12.70462      4.51277      8.19185
     -4.90000     13.50094      4.80547      8.69547
     -4.89000     15.19054      5.44613      9.74441
     -4.88000     15.52562      5.59385      9.93177
     -4.87000     15.59351      5.60571      9.98780
     -4.86000     15.29693      5.48337      9.81356
     -4.85000     14.51246      5.16727      9.34519
     -4.84000     15.34662      5.39592      9.95071
     -4.83000     17.64340      6.18889     11.45451
     -4.82000     19.68849      6.94853     12.73996
     -4.81000     19.63974      6.94877     12.69097
     -4.80000     18.36114      6.47717     11.88398
     -4.79000     18.51928      6.51244     12.00684
     -4.78000     19.62920      6.90826     12.72093
     -4.77000     20.51147      7.20944     13.30203
     -4.76000     21.79926      7.65386     14.14541
     -4.75000     24.14735      8.49380     15.65355
     -4.74000     25.26737      8.86892     16.39845
     -4.73000     23.37672      8.13933     15.23739
     -4.72000     20.46840      7.05668     13.41172
     -4.71000     19.32810      6.62780     12.70030
     -4.70000     20.70931      7.09225     13.61706
     -4.69000     22.29474      7.64989     14.64485
     -4.68000     22.63276      7.77187     14.86089
     -4.67000     21.67028      7.42100     14.24928
     -4.66000     19.85878      6.78940     13.06937
     -4.65000     19.52133      6.65359     12.86774
     -4.64000     22.01600      7.51772     14.49828
     -4.63000     22.02930      7.51633     14.51297
     -4.62000     18.04679      6.10850     11.93829
     -4.61000     15.71228      5.32078     10.39150
     -4.60000     16.67222      5.69722     10.97499
     -4.59000     18.84448      6.48149     12.36298
     -4.58000     21.21034      7.30265     13.90769
     -4.57000     23.79470      8.20847     15.58623
     -4.56000     25.77912      8.88992     16.88919
     -4.55000     24.45478      8.37930     16.07547
     -4.54000     22.07426      7.56381     14.51044
     -4.53000     20.32512      7.01241     13.31271
     -4.52000     20.98034      7.27809     13.70225
     -4.51000     23.72965      8.30854     15.42111
     -4.50000     26.82636      9.42261     17.40375
     -4.49000     30.75926     10.74866     20.01060
     -4.48000     33.69734     11.77376     21.92358
     -4.47000     32.50844     11.39829     21.11015
     -4.46000     28.88758     10.10603     18.78156
     -4.45000     27.66560      9.59052     18.07508
     -4.44000     29.43796     10.18144     19.25653
     -4.43000     31.31815     10.82521     20.49294
     -4.42000     31.78878     10.93618     20.85260
     -4.41000     29.39858     10.10083     19.29775
     -4.40000     27.03031      9.27294     17.75737
     -4.39000     24.50675      8.35903     16.14772
     -4.38000     21.74324      7.39644     14.34680
     -4.37000     22.84887      7.80425     15.04462
     -4.36000     25.65752      8.79356     16.86396
     -4.35000     24.91290      8.52493     16.38797
     -4.34000     23.16885      7.93753     15.23132
     -4.33000     23.89133      8.17030     15.72103
     -4.32000     25.76499      8.73478     17.03021
     -4.31000     27.99697      9.45236     18.54461
     -4.30000     32.52036     11.00322     21.51714
     -4.29000     36.90745     12.56161     24.34584
     -4.28000     36.61911     12.55580     24.06331
     -4.27000     35.61848     12.28605     23.33243
     -4.26000     34.95590     12.03716     22.91873
     -4.25000     33.25380     11.37357     21.88022
     -4.24000     32.89579     11.19733     21.69846
     -4.23000     34.26293     11.68049     22.58243
     -4.22000     35.12876     12.03175     23.09701
     -4.21000     32.97526     11.30931     21.66595
     -4.20000     28.55770      9.79418     18.76352
     -4.19000     24.91571      8.53869     16.37702
     -4.18000     24.58475      8.42657     16.15818
     -4.17000     27.28014      9.36223     17.91791
     -4.16000     28.55374      9.75888     18.79487
     -4.15000     28.25122      9.59278     18.65845
     -4.14000     28.15623      9.55411     18.60211
     -4.13000     26.46851      9.03458     17.43393
     -4.12000     25.89328      8.92765     16.96563
     -4.11000     28.36054      9.87014     18.49040
     -4.10000     30.47034     10.56953     19.90081
     -4.09000     31.04795     10.69694     20.35101
     -4.08000     30.75336     10.56516     20.18820
     -4.07000     30.27003     10.39579     19.87425
     -4.06000     30.29893     10.41814     19.88079
     -4.05000     30.51236     10.46623     20.04614
     -4.04000     29.53923     10.10459     19.43465
     -4.03000     28.76006      9.84973     18.91033
     -4.02000     28.72229      9.86909     18.85320
     -4.01000     28.50726      9.80722     18.70004
     -4.00000     28.27115      9.73287     18.53828
     -3.99000     28.79562      9.94713     18.84849
     -3.98000     31.42559     10.86519     20.56040
     -3.97000     33.98594     11.72827     22.25766
     -3.96000     33.85920     11.64844     22.21076
     -3.95000     31.38620     10.78111     20.60509
     -3.94000     29.67677     10.23610     19.44067
     -3.93000     31.66013     10.98140     20.67873
     -3.92000     34.49771     11.98307     22.51464
     -3.91000     34.42006     11.94716     22.47290
     -3.90000     32.56666     11.26926     21.29740
     -3.89000     31.65935     10.91082     20.74852
     -3.88000     33.21123     11.45490     21.75633
     -3.87000     36.88792     12.81469     24.07323
     -3.86000     39.25929     13.71063     25.54866
     -3.85000     38.57990     13.46264     25.11727
     -3.84000     36.63060     12.75976     23.87084
     -3.83000     36.39228     12.70179     23.69050
     -3.82000     39.11593     13.69347     25.42245
     -3.81000     41.34658     14.50815     26.83843
     -3.80000     39.42883     13.80187     25.62696
     -3.79000     37.13480     12.92187     24.21294
     -3.78000     36.90360     12.78211     24.12149
     -3.77000     36.45556     12.59047     23.86510
     -3.76000     35.19075     12.14960     23.04114
     -3.75000     34.00233     11.74245     22.25988
     -3.74000     31.92576     11.03409     20.89167
     -3.73000     31.90474     11.05991     20.84483
     -3.72000     34.30736     11.90581     22.40154
     -3.71000     34.33017     11.86815     22.46203
     -3.70000     33.70715     11.58836     22.11879
     -3.69000     35.07217     12.04564     23.02654
     -3.68000     36.68159     12.63859     24.04300
     -3.67000     35.50381     12.23949     23.26431
     -3.66000     32.38397     11.13368     21.25029
     -3.65000     32.14702     11.05604     21.09098
     -3.64000     33.61676     11.56591     22.05085
     -3.63000     32.97817     11.30244     21.67573
     -3.62000     31.51247     10.78942     20.72305
     -3.61000     31.54318     10.79858     20.74459
     -3.60000     33.14776     11.31098     21.83678
     -3.59000     33.54559     11.42337     22.12222
     -3.58000     34.17601     11.61876     22.55724
     -3.57000     36.02950     12.23465     23.79485
     -3.56000     36.86041     12.51039     24.35002
     -3.55000     37.64553     12.79779     24.84774
     -3.54000     39.60965     13.49566     26.11398
     -3.53000     38.50045     13.10549     25.39496
     -3.52000     35.12407     11.90160     23.22247
     -3.51000     34.61026     11.67582     22.93444
     -3.50000     35.42140     11.92328     23.49812
     -3.49000     33.59963     11.32293     22.27670
     -3.48000     31.81120     10.73732     21.07390
     -3.47000     32.35911     10.80820     21.55173
     -3.46000     34.72015     11.25263     23.48181
     -3.45000     40.10516     11.92724     28.27932
     -3.44000     47.12085     12.24234     35.19570
     -3.43000     47.89635     11.64738     36.75361
     -3.42000     44.56696     11.54771     33.55019
     -3.41000     44.19155     12.62595     32.06729
     -3.40000     44.42809     13.51091     31.36983
     -3.39000     41.82870     13.44576     28.66508
     -3.38000     39.71883     13.51755     26.29542
     -3.37000     39.71091     13.86788     25.85824
     -3.36000     40.43613     14.09671     26.34053
     -3.35000     40.27264     13.96002     26.31265
     -3.34000     41.02731     13.82368     27.20362
     -3.33000     60.48463     17.29313     43.19150
     -3.32000    106.20454     25.87138     80.33316
     -3.31000    111.28277     26.92635     84.35643
     -3.30000     66.26907     18.57801     47.69106
     -3.29000     41.69004     13.93439     27.75566
     -3.28000     38.77224     13.47685     25.29539
     -3.27000     39.91998     13.94263     25.97735
     -3.26000     40.19596     14.06769     26.12827
     -3.25000     38.72065     13.48152     25.23913
     -3.24000     39.35324     13.21003     26.14321
     -3.23000     55.85797     15.71621     40.14176
     -3.22000     97.94149     22.69579     75.24570
     -3.21000    107.94330     24.43427     83.50903
     -3.20000     66.70754     17.46100     49.24653
     -3.19000     38.86835     12.42398     26.44436
     -3.18000     31.71872     10.87734     20.84138
     -3.17000     31.83982     11.07578     20.76404
     -3.16000     31.90239     11.01022     20.89218
     -3.15000     31.62259     10.33183     21.29076
     -3.14000     50.51861     13.79015     36.72846
     -3.13000     98.25695     23.39447     74.86248
     -3.12000    112.46853     26.28219     86.18634
     -3.11000     99.74952     23.81230     75.93722
     -3.10000    115.18800     26.97751     88.21049
     -3.09000     91.70914     22.62786     69.08128
     -3.08000     47.78418     13.99894     33.78525
     -3.07000     32.99193     11.07471     21.91722
