Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -3.64141     34.46822      0.00000      0.00000
     -3.63141     36.59403      0.00000      0.00000
     -3.62141     39.41641      0.00000      0.00000
     -3.61141     39.53944      0.00000      0.00000
     -3.60141     35.63878      0.00000      0.00000
     -3.59141     32.82363      0.00000      0.00000
     -3.58141     32.66986      0.00000      0.00000
     -3.57141     34.11672      0.00000      0.00000
     -3.56141     33.94382      0.00000      0.00000
     -3.55141     33.70509      0.00000      0.00000
     -3.54141     36.30570      0.00000      0.00000
     -3.53141     40.08795      0.00000      0.00000
     -3.52141     41.09828      0.00000      0.00000
     -3.51141     38.60578      0.00000      0.00000
     -3.50141     37.30325      0.00000      0.00000
     -3.49141     38.46327      0.00000      0.00000
     -3.48141     41.54145      0.00000      0.00000
     -3.47141     49.89213      0.00000      0.00000
     -3.46141     85.40285      0.00000      0.00000
     -3.45141    133.12247      0.00000      0.00000
     -3.44141    112.49986      0.00000      0.00000
     -3.43141     61.40294      0.00000      0.00000
     -3.42141     43.48346      0.00000      0.00000
     -3.41141     42.33460      0.00000      0.00000
     -3.40141     42.94277      0.00000      0.00000
     -3.39141     44.21635      0.00000      0.00000
     -3.38141     44.60018      0.00000      0.00000
     -3.37141     44.44235      0.00000      0.00000
     -3.36141     43.01017      0.00000      0.00000
     -3.35141     42.54359      0.00000      0.00000
     -3.34141     62.75217      0.00000      0.00000
     -3.33141    115.54033      0.00000      0.00000
     -3.32141    135.68755      0.00000      0.00000
     -3.31141     88.42265      0.00000      0.00000
     -3.30141     56.07733      0.00000      0.00000
     -3.29141     63.53363      0.00000      0.00000
     -3.28141    109.02664      0.00000      0.00000
     -3.27141    141.01226      0.00000      0.00000
     -3.26141    101.50895      0.00000      0.00000
     -3.25141     63.08757      0.00000      0.00000
     -3.24141     54.64546      0.00000      0.00000
     -3.23141     53.16184      0.00000      0.00000
     -3.22141     51.03202      0.00000      0.00000
     -3.21141     49.87955      0.00000      0.00000
     -3.20141     51.04463      0.00000      0.00000
     -3.19141     50.87089      0.00000      0.00000
